"","FOJLU","BWOZI","SBIPC","NZSNA","NCMIB","QHUZH","SYFUQ","LXDWM","IXTTA","SKJNA","MBKBN","HGNBE","WYQXD","TEVAA","FYTJI","EXNYZ","PXEJR","DUXKF","LTLQG","ZXPRH","ACDPM","WGUSI","TLNJH","FHXNO","CXRHG","OQSNA","GKNOL","YUDYJ","LXXWT","IBOPG","WMGSK","PPDRO","YGISZ","GZLAT","TTWIE","NMVKC","CEKMS","ZMXMH","EBRXV","TGXLJ","DFSTZ","FBTML","PZBVW","JOLES","SGPCT","LVIZW","QQORX","EGYEX","MUYAT","VSSCR","DBWSY","VVIOQ","HBQQL","HGGOA","KATNA","TLPPS","TSYVY","FDPGW","JQIVY","PEQGA","KQIFU","ZZLXT","WMHVU","UZIZV","ASFGT","DVFMV","GXGBY","PDQTS","JNEUV","YNXGO","GOGOQ","VSIHQ","IZYLQ","OIFCD","JGFKI","NTELM","NUJBK","RBCBY","OAWAD","ZQSDE","IFRCH","GVHYW","QBXCC","CGGFC","XWWCX","LNXHM","NXSPT","UTUFO","PONPG","XWJDJ","CVKEW","OXWFV","PWTRD","CEBQD","XSZDV","ORSQD","KTVJR","MEEIQ","RCFZJ","PAVJJ","YJVNE","DAFKQ","WOXHO","UHKAW","JSSYO","RBYGD","TITSZ","AENWD","KKDUN","JEIDR","YSQEX","SQJWE","LOKPV","AZHWX","GCJDS","UYPPH","ZIMTG","BPSKL","TPZBX","XMFPD","OIOGI","RAWHK","IDBRN","MQZHY","XCMUJ","VPMKE","QJLAF","YXKKZ","BZPEB","OBFYR","WBGZD","RRSWH","IHEGM","UAATB","KJBRY","OKQCB","ILBPX","YXTQS","VQUUM","JRSYG","QRZGQ","RZVHP","JMCYA","DZKWC","TICYF","KKFVG","SEUUB","YBCXF","RNOBL","LZNZX","MEETL","JNWCV","ZFNUQ","CAFJI","LAGDS","HXOWO","XPSNR","OZAZV","MGVRQ","LQPOM","TJLMX","YTNKU","KTCJQ","CZIFI","YVUXY","PDERY","JPTMG","MIMOF","RWWYO","GISLN","HYKRX","HPWKM","JGESA","GVYLF","DLZFC","PQIKC","VGGZJ","QKYJH","QFUFS","OFORG","SKARA","UBLWY","OKFZG","TGPRZ","INURN","PWPXG","HJGWT","time_step"
"11",12,82,179,106,110,20,151,177,11,0,0,6,0,0,3,10,5,0,23,22,8,0,0,0,26,7,11,3,0,5,0,0,0,0,0,4,0,0,4,0,0,2,0,2,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"12",6,78,179,117,111,21,160,172,13,0,0,9,0,0,2,9,5,0,24,18,3,0,0,0,26,3,11,3,0,6,0,0,0,0,0,3,0,0,5,0,0,0,0,2,0,0,0,0,1,0,1,2,0,0,0,0,3,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"13",5,83,169,107,115,20,173,170,18,0,0,12,0,0,0,13,5,0,23,15,3,0,0,0,26,2,9,4,0,6,0,0,0,0,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"14",3,81,179,118,107,12,179,175,14,0,0,10,0,0,0,14,5,0,17,9,2,0,0,0,29,3,11,3,0,8,0,0,0,0,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"15",2,71,186,104,102,13,187,175,21,0,0,10,0,0,0,15,5,0,22,9,2,0,0,0,27,2,9,5,0,5,0,0,0,0,0,4,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"16",7,68,196,109,109,15,184,157,22,0,0,10,0,0,0,13,1,0,18,15,0,0,0,0,31,2,7,3,0,4,0,0,0,0,0,4,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,2,1,1,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"17",7,64,188,117,111,17,174,152,19,0,0,14,0,0,0,15,0,0,22,20,0,0,0,0,28,2,8,4,0,5,0,0,0,0,0,7,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3,0,2,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"18",8,67,182,107,102,13,172,150,23,0,0,15,0,0,0,19,0,0,24,26,0,0,0,0,35,0,7,5,0,7,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,4,0,3,1,0,0,0,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"19",7,62,166,106,103,14,181,155,17,0,0,16,0,0,0,19,0,0,26,30,0,0,0,0,36,0,7,8,0,8,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,4,3,0,0,0,2,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"20",4,62,167,114,106,14,176,137,13,0,0,21,0,0,0,21,0,0,25,43,0,0,0,0,32,0,3,8,0,11,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,6,3,0,0,0,1,0,0,0,1,1,1,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
